Crime;Drama;Fantasy;Horror;Romance;Comedy;Thriller;Animation;Short;Family;Mystery;Action;Adventure;Sci-Fi;Music;Biography;Sport;History;War;Documentary;Film-Noir;Musical;Game-Show;Western;Reality-TV;Talk-Show;News;Adult;Title;GenreCluster;Languages;Series or Movie;Country Availability;Runtime;Actors;View Rating;Alternative Score;Awards Received;Awards Nominated For;Release Year;Netflix Release Year;Difference Date;IMDb Votes;IMDb Score
0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;D;3;Movie;15;1-2 hour;4;GP;Good;50;50;1999;2021;21.81;50000;Bad
0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Harrys Daughters;D;1;Movie;35;1-2 hour;4;GP;Excelent;50;50;2011;2021;9.64;50000;Good
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Gyllene Tider;C;1;Movie;35;30-60 mins;4;NR;Bad;0;0;NaN;2021;NaN;100;Good
0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;False As Water;A;1;Movie;35;1-2 hour;4;NR;Bad;5;0;1985;2021;35.34;10000;Bad
0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bang!;D;0;Movie;35;1-2 hour;0;NR;Bad;0;0;NaN;2021;NaN;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1939;A;1;Movie;35;> 2 hrs;4;NR;Bad;0;0;1989;2021;31.21;10000;Bad
0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Girls und Panzer das Finale;D;1;Series;1;< 30 minutes;4;NR;Bad;0;0;2017;2021;3.23;10000;Good
0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Indoo Ki Jawani;B;1;Movie;35;1-2 hour;4;NR;Bad;0;0;2020;2021;0.22;10000;Bad
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Coroner;A;1;Series;1;< 30 minutes;4;GP;Bad;0;0;2015;2021;5.30;10000;Good
0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Brave New World;A;1;Series;15;< 30 minutes;4;M;Bad;0;0;2020;2021;0.63;10000;Good
0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Comrades: Almost a Love Story;A;3;Movie;1;1-2 hour;4;NR;Excelent;50;10;1996;2021;24.34;10000;Good
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Closet;B;1;Movie;1;1-2 hour;4;M;Excelent;1;1;2001;2021;19.57;20000;Good
0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Mysterians;D;3;Movie;1;1-2 hour;4;G;Good;0;0;1959;2021;61.84;10000;Bad
0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;No Longer Human;A;1;Movie;1;> 2 hrs;4;NR;Bad;0;5;2019;2021;1.47;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Repast;A;1;Movie;1;1-2 hour;4;NR;Excelent;10;0;1951;2021;69.32;10000;Good
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sway;A;1;Movie;1;1-2 hour;4;NR;Excelent;10;5;2006;2021;14.66;10000;Good
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;When a Woman Ascends the Stairs;A;1;Movie;1;1-2 hour;4;NR;Excelent;0;0;1963;2021;57.72;10000;Good
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Yearning;A;1;Movie;1;1-2 hour;4;NR;Excelent;1;0;1964;2021;56.39;10000;Good
0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gorath;D;3;Movie;1;1-2 hour;4;NR;Bad;0;0;1964;2021;56.83;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ginza Cosmetics;A;3;Movie;1;1-2 hour;4;NR;Bad;0;0;1951;2021;69.93;10000;Bad
0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Floating Clouds;A;1;Movie;1;> 2 hrs;4;NR;Excelent;10;0;1980;2021;40.76;10000;Good
0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Cheer Boys!!;A;1;Movie;1;1-2 hour;4;GP;Bad;0;0;2016;2021;4.66;100;Bad
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;365 Nights;;1;Movie;1;1-2 hour;4;NR;Bad;0;0;NaN;2021;NaN;10;Bad
0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Restart After Come Back Home;A;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2020;2021;0.49;100;Good
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 Minute;B;1;Movie;1;1-2 hour;1;NR;Bad;0;5;2010;2021;10.39;100;Good
0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Dilili in Paris;D;1;Movie;5;1-2 hour;4;GP;Bad;1;5;2019;2021;1.41;10000;Good
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;All of Us;B;1;Movie;1;1-2 hour;4;NR;Bad;0;22;2003;2021;17.47;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;Let Joy Reign Supreme;A;3;Movie;5;1-2 hour;4;NR;Excelent;5;5;1975;2021;45.96;10000;Good
0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Valley of the Gods;A;1;Movie;1;> 2 hrs;4;GP;Bad;0;5;2020;2021;0.55;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;Framing John DeLorean;A;1;Movie;1;1-2 hour;4;NR;Excelent;0;0;2019;2021;1.73;10000;Bad
0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Critters Attack!;B;1;Movie;5;1-2 hour;4;M;Bad;0;0;2020;2021;0.32;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Bold Type;A;1;Series;35;< 30 minutes;4;GP;Bad;5;22;2017;2021;3.70;10000;Good
0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Alice;B;3;Series;35;< 30 minutes;4;GP;Excelent;1;10;1991;2021;30.16;20000;Bad
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lobster Cop;B;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2018;2021;2.69;10000;Bad
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Magic hour;A;1;Movie;1;1-2 hour;4;NR;Bad;0;0;NaN;2021;NaN;100;Bad
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Marionette;C;1;Movie;1;1-2 hour;4;NR;Bad;5;5;2020;2021;0.44;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Miss Baek;A;1;Movie;1;1-2 hour;4;NR;Bad;10;22;2018;2021;2.39;10000;Bad
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Old Marine Boy;C;1;Movie;1;1-2 hour;4;NR;Bad;0;0;NaN;2021;NaN;10;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ordinary People;A;1;Movie;1;1-2 hour;4;M;Excelent;20;22;1980;2021;40.47;50000;Good
0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Outdoor Begins;D;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2017;2021;3.99;10;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Paths of the Soul;A;1;Movie;1;1-2 hour;4;NR;Excelent;5;10;2017;2021;3.70;10000;Good
0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;Promise at Dawn;A;5;Movie;1;> 2 hrs;4;NR;Bad;1;10;2019;2021;1.48;10000;Good
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Return;A;1;Movie;1;1-2 hour;4;NR;Excelent;50;22;2003;2021;17.69;50000;Good
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Rookies;A;1;Movie;1;1-2 hour;4;NR;Bad;0;0;1972;2021;49.01;10000;Bad
1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Snatch Up;A;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2018;2021;2.88;100;Bad
1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Stray;C;1;Movie;1;1-2 hour;4;NR;Good;0;0;2019;2021;1.92;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Stand by Me;A;1;Movie;1;1-2 hour;4;M;Excelent;5;22;1986;2021;34.55;50000;Good
0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Tea Pets;D;1;Movie;1;1-2 hour;2;NR;Bad;0;1;2020;2021;1.13;10000;Bad
0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A Tiger In Winter;A;1;Movie;1;1-2 hour;4;NR;Bad;0;1;2018;2021;2.88;100;Bad
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Three Little Pigs;D;1;Movie;1;1-2 hour;3;NR;Bad;0;0;NaN;2021;NaN;100;Bad
0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Wonderstruck;A;3;Movie;1;1-2 hour;4;GP;Good;1;50;2017;2021;3.36;10000;Bad
0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Keys To The Heart;D;1;Movie;1;> 2 hrs;4;NR;Excelent;0;1;2018;2021;3.09;10000;Good
0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Intimate Strangers;A;1;Movie;1;1-2 hour;4;M;Excelent;0;5;2004;2021;16.50;10000;Good
0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Homme Fatale;B;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2019;2021;1.64;100;Bad
0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Happy Bus Day;B;1;Movie;1;1-2 hour;1;NR;Bad;5;5;2017;2021;3.86;100;Bad
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gonjiam: Haunted Asylum;C;1;Movie;1;1-2 hour;4;NR;Excelent;5;10;2018;2021;2.93;10000;Bad
0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Golden Slumber;A;1;Movie;1;1-2 hour;4;NR;Excelent;0;1;2010;2021;11.09;10000;Good
1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Extreme Job;B;3;Movie;1;1-2 hour;4;NR;Excelent;10;50;2019;2021;1.69;10000;Good
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Default;A;3;Movie;1;1-2 hour;4;NR;Excelent;5;10;2018;2021;2.25;10000;Bad
1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Criticsized;A;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2016;2021;4.21;10000;Bad
0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Communication & Lies;A;1;Movie;1;1-2 hour;4;NR;Bad;0;0;NaN;2021;NaN;10000;Bad
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Clover;B;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2020;2021;0.91;10000;Bad
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Blood Orange;C;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2016;2021;4.84;10000;Bad
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;The Big Shot;A;1;Movie;1;1-2 hour;4;G;Bad;0;0;1942;2021;78.77;10000;Bad
0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Angels Time;A;1;Movie;1;1-2 hour;4;GP;Bad;20;50;1999;2021;21.42;50000;Good
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;After My Death;A;1;Movie;1;1-2 hour;4;NR;Bad;10;10;2018;2021;2.46;10000;Bad
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Age of Blood;C;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2017;2021;3.29;10000;Bad
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Accidental Detective 2: In Action;B;1;Movie;1;1-2 hour;4;NR;Excelent;0;0;2018;2021;2.69;10000;Bad
0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12 Feet Deep;C;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2017;2021;3.70;20000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1987: When the Day Comes;A;1;Movie;1;> 2 hrs;4;NR;Excelent;50;50;2018;2021;3.13;10000;Good
0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Enter the Fat Dragon;D;3;Movie;1;1-2 hour;4;GP;Bad;0;0;2020;2021;1.04;10000;Bad
0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Operation Buffalo;A;3;Series;15;< 30 minutes;4;NR;Bad;1;22;2020;2021;0.75;10000;Bad
0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Bigfoot Family;D;0;Movie;5;1-2 hour;4;G;Bad;0;1;2020;2021;0.56;10000;Bad
1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Girl on the Train;A;3;Movie;36;> 2 hrs;4;M;Bad;5;22;2016;2021;4.39;50000;Bad
0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ginny & Georgia - The Afterparty;D;1;Movie;35;30-60 mins;2;NR;Bad;0;0;2016;2021;4.83;10;Bad
0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ride Your Wave;D;1;Movie;1;1-2 hour;4;NR;Excelent;5;5;2020;2021;1.02;10000;Bad
0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Baumbacher Syndrome;B;3;Movie;5;1-2 hour;4;NR;Bad;5;10;2021;2021;0.10;10000;Good
0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;La Palma;B;5;Movie;5;1-2 hour;4;NR;Bad;0;0;2020;2021;0.73;100;Good
0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Fuga;A;1;Movie;15;1-2 hour;4;NR;Bad;5;5;2006;2021;14.93;10000;Bad
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Geez & Ann;D;1;Movie;35;1-2 hour;2;NR;Bad;0;0;2012;2021;8.69;100;Good
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Capone;A;3;Movie;1;1-2 hour;4;M;Bad;0;1;2020;2021;0.79;20000;Bad
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Vaterland: A Hunting Logbook;C;1;Movie;1;1-2 hour;4;NR;Bad;5;1;2004;2021;16.53;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;The Last Bastion;A;1;Series;15;< 30 minutes;4;NR;Bad;0;0;1984;2021;36.33;100;Good
0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Princess Principal;D;1;Series;1;< 30 minutes;4;M;Bad;1;1;2017;2021;3.63;10000;Good
1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Above Suspicion;C;1;Movie;5;1-2 hour;4;M;Good;0;0;2020;2021;0.28;10000;Bad
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;A Call to Spy;A;1;Movie;1;> 2 hrs;4;GP;Good;5;5;2020;2021;0.39;10000;Bad
1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Red;C;3;Movie;35;> 2 hrs;4;GP;Good;5;22;2010;2021;10.37;50000;Good
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Made You Look: A True Story About Fake Art;C;1;Movie;35;1-2 hour;4;NR;Bad;0;0;2021;2021;0.00;10000;Good
0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Il signor Diavolo;C;1;Movie;1;1-2 hour;4;NR;Bad;1;5;2019;2021;1.51;10000;Bad
0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Chihayafuru;D;1;Series;1;< 30 minutes;4;GP;Bad;0;1;2011;2021;9.39;10000;Good
0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Classmates Minus;B;0;Movie;36;> 2 hrs;4;NR;Bad;5;10;2021;2021;0.00;10000;Good
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Oh My JUMP!;A;1;Series;1;< 30 minutes;4;NR;Bad;0;0;2018;2021;3.11;10;Good
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;The Mole Agent;C;1;Movie;5;1-2 hour;4;NR;Good;5;22;2020;2021;0.47;10000;Good
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Loop;B;1;Movie;1;1-2 hour;4;NR;Bad;0;1;NaN;2021;NaN;10000;Good
1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I Care a Lot;B;1;Movie;35;1-2 hour;4;M;Good;0;0;2021;2021;0.00;10000;Bad
0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No Escape Room;C;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2018;2021;2.38;10000;Bad
0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Legacy of Lies;C;3;Movie;1;1-2 hour;4;M;Bad;10;10;2020;2021;0.56;10000;Bad
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2067;D;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2020;2021;0.38;10000;Bad
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ronny & Klaid;B;1;Movie;5;1-2 hour;4;NR;Bad;0;0;1932;2021;88.91;10;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Burden;A;1;Movie;1;1-2 hour;4;M;Excelent;5;1;2020;2021;0.70;10000;Bad
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Collective;C;3;Movie;1;1-2 hour;4;NR;Excelent;50;50;2020;2021;0.25;10000;Good
0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Love;A;3;Movie;35;1-2 hour;4;M;Bad;5;1;2015;2021;5.31;50000;Bad
0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sisyphus;D;1;Series;15;< 30 minutes;0;NR;Bad;0;5;1974;2021;46.42;10000;Bad
0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Eeb Allay Ooo!;B;1;Movie;35;1-2 hour;4;NR;Bad;5;5;2020;2021;0.17;10000;Good
0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Behind Her Eyes;A;1;Series;36;< 30 minutes;4;GP;Bad;0;0;2018;2021;2.77;10;Bad
1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Manson Family Massacre;C;1;Movie;1;1-2 hour;4;NR;Bad;0;0;2019;2021;1.54;10000;Bad
